,,,车系,,,,,排量,变速箱,,保养项目,工时名称,工时单价,工时单位,工时数量,配件1,单价1,单位1,数量1,配件2,单价2,单位2,数量2,配件3,单价3,单位3,数量3,配件4,单价4,单位4,数量4,配件5,单价5,单位5,数量5,配件6,单价6,单位6,数量6,配件7,单价7,单位7
C,长城,C,长城H6,,,,,1.5L,MT,长城,小保养（机油、机滤）,工时费,30,个,2,原厂机油,26.25,升,4,机滤,20,个,1,垫片,2,个,1,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,大保养（机油、三滤）,工时费,30,个,4,原厂机油,26.25,升,4,机滤,20,个,1,空气滤清器,46,个,1,汽滤,18,个,1,垫片,2,个,1,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换防冻液,工时费,30,个,1,原厂防冻液,30,升,6,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换空调滤清器,工时费,30,个,1,空调滤清器,46,个,1,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换雨刮,工时费,30,个,0,无骨雨刮片,120,副,1,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,四轮定位,工时费,30,个,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换前制动片,工时费,30,个,5,前制动片,197,副,1,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换前制动盘,工时费,30,个,3,前制动盘,215,副,1,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换后制动片,工时费,30,个,5,后制动片,149,副,1,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换后制动盘,工时费,30,个,3,后制动盘,204,副,1,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换蓄电池,工时费,30,个,1,蓄电池,725,个,1,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换变速箱油,工时费,30,个,1,变速箱油,152,升,3,胶水,59,支,1,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,清洗节气门,工时费,30,个,,节气门清洗剂,100,瓶,1,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,清洗喷油嘴,工时费,30,个,,燃油系统清洗套装,680,套,1,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换火花塞,工时费,30,个,2,火花塞,16,个,4,,,,1,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换制动液,工时费,30,个,1,,29,,,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换正时皮带,工时费,30,个,18,,1006,,,,,,,,,,,,,,,,,,,,,,,,,
C,长城,C,长城H6,,,,,1.5L,MT,长城,更换转向助力液,工时费,30,个,1,,85,,,,,,,,,,,,,,,,,,,,,,,,,
