[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ route_check ] --START--
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Run CheckRoute Behavior [ RunTime:0.001001s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001001s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ app_begin ] --START--
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_template ] --START--
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_parse ] --START--
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Run ParseTemplate Behavior [ RunTime:0.006001s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006001s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_filter ] --START--
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_end ] --START--
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:15:09+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Public/top | INFO: Tag[ route_check ] --START--
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Public/top | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
