[ 2015-10-22T22:53:29+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ route_check ] --START--
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.015001s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.015001s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ app_begin ] --START--
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | SQL: SHOW COLUMNS FROM `xc_ip` [ RunTime:0.011001s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | SQL: SHOW COLUMNS FROM `xc_user` [ RunTime:0.017001s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | SQL: SHOW COLUMNS FROM `xc_sms` [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | NOTIC: [8] Undefined index: account PublicAction.class.php 第 121 行.
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | NOTIC: [8] Undefined variable: array PublicAction.class.php 第 123 行.
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | SQL: SELECT COUNT(*) AS tp_count FROM `xc_ip` WHERE ( `ip` = '127.0.0.1' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_template ] --START--
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.018001s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.019001s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.025002s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025002s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_filter ] --START--
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_end ] --START--
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/public/verify/ | INFO: Tag[ route_check ] --START--
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/public/verify/ | SQL: SHOW COLUMNS FROM `xc_ip` [ RunTime:0.002000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/public/verify/ | SQL: SHOW COLUMNS FROM `xc_user` [ RunTime:0.002000s ]
[ 2015-10-22T22:53:30+08:00 ] /admin/index.php/public/verify/ | SQL: SHOW COLUMNS FROM `xc_sms` [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Tag[ route_check ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Tag[ app_begin ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
