[ 2017-03-24T16:34:49+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | INFO: Tag[ route_check ] --START--
[ 2017-03-24T16:34:49+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-03-24T16:34:49+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-03-24T16:34:49+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | INFO: Tag[ app_begin ] --START--
[ 2017-03-24T16:34:49+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:34:49+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SHOW COLUMNS FROM tp_admin.xc_role_user [ RunTime:0.001000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SHOW COLUMNS FROM tp_admin.xc_user [ RunTime:0.002001s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SHOW COLUMNS FROM tp_xieche.xc_technician [ RunTime:0.003000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SHOW COLUMNS FROM tp_xieche.xc_carbrand [ RunTime:0.003000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SHOW COLUMNS FROM tp_xieche.xc_reservation_order [ RunTime:0.003000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SHOW COLUMNS FROM tp_xieche.xc_technician_schedule [ RunTime:0.002000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SHOW COLUMNS FROM tp_xieche.xc_sms [ RunTime:0.003000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SHOW COLUMNS FROM tp_xieche.xc_carmodel [ RunTime:0.002000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SHOW COLUMNS FROM tp_xieche.xc_carseries [ RunTime:0.002000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `id`,`truename` FROM tp_xieche.xc_technician WHERE ( `status` = 1 )  [ RunTime:0.002000s ]
