[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | INFO: Tag[ route_check ] --START--
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 138 行.
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | INFO: Tag[ app_begin ] --START--
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | SQL: SHOW COLUMNS FROM `xc_ip` [ RunTime:0.002000s ]
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | SQL: SHOW COLUMNS FROM `xc_user` [ RunTime:0.002000s ]
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | SQL: SHOW COLUMNS FROM `xc_sms` [ RunTime:0.001001s ]
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | SQL: SHOW COLUMNS FROM tp_admin.xc_node [ RunTime:0.003000s ]
[ 2017-07-06T23:57:06+08:00 ] /admin/index.php/Admin/Public/menu/tag/2/title/%E5%BA%94%E7%94%A8%E4%B8%AD%E5%BF%83/name/App | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
